Dist,2018 Winner,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,Raw Votes vs. 2016
NM-01,Deb Haaland (D),147336,90507,11319,59.1,36.3,4.5,22.8,16.5,6.3,87.4
NM-02,Xochitl Torres Small (D),101489,97767,0,50.9,49.1,0,1.9,-10.2,12.1,85.1
NM-03,Ben R. Lujan (D),155201,76427,13265,63.4,31.2,5.4,32.2,15.2,17,87.8
NY-01,Lee Zeldin (R),127991,139027,2988,47.4,51.5,1.1,-4.1,-12.2,8.1,79.6
NY-02,Peter King (R),113074,128058,0,46.9,53.1,0,-6.2,-8.9,2.7,76.5
NY-03,Tom Suozzi (D),157456,109514,0,59,41,0,18,6.1,11.9,76.7
NY-04,Kathleen Rice (D),159535,100571,0,61.3,38.7,0,22.7,9.5,13.2,76.6
NY-05,Gregory Meeks (D),160500,0,0,100,0,0,100,72.8,-,64.8
NY-06,Grace Meng (D),111646,0,11209,90.9,0,9.1,90.9,32.8,-,58.9
NY-07,Nydia Velazquez (D),146687,0,10410,93.4,0,6.6,93.4,76.1,-,76.4
NY-08,Hakeem Jeffries (D),180376,0,11028,94.2,0,5.8,94.2,70.8,-,74.7
NY-09,Yvette Clarke (D),181455,20901,779,89.3,10.3,0.4,79,68.6,10.4,79.5
NY-10,Jerrold Nadler (D),173095,37619,0,82.1,17.9,0,64.3,58.9,5.4,79.6
NY-11,Max Rose (D),101823,89441,774,53,46.6,0.4,6.4,-9.8,16.2,76.8
NY-12,Carolyn Maloney (D),217430,30446,3726,86.4,12.1,1.5,74.3,69,5.3,81.1
NY-13,Adriano Espaillat (D),180035,10268,0,94.6,5.4,0,89.2,86.4,2.8,75
NY-14,Alexandria Ocasio-Cortez (D),110318,19202,11604,78.2,13.6,8.2,64.6,57.6,7,72
NY-15,Jose E. Serrano (D),124469,5205,0,96,4,0,92,88.6,3.4,67.6
NY-16,Eliot Engel (D),182044,0,0,100,0,0,100,52.2,-,63.8
NY-17,Nita Lowey (D),170168,0,23150,88,0,12,88,20,-,60.2
NY-18,Sean Patrick Maloney (D),139564,112035,0,55.5,44.5,0,10.9,-2,12.9,80.6
NY-19,Antonio Delgado (D),147873,132873,7148,51.4,46.2,2.5,5.2,-6.8,12,89.2
NY-20,Paul Tonko (D),176811,89058,0,66.5,33.5,0,33,13.3,19.7,80.8
NY-21,Elise Stefanik (R),99791,131981,3437,42.4,56.1,1.5,-13.7,-13.7,0,83
NY-22,Anthony Brindisi (D),127715,123242,0,50.9,49.1,0,1.8,-15.3,17.1,85.6
NY-23,Tom Reed (R),109932,130323,0,45.8,54.2,0,-8.5,-14.7,6.2,81.9
NY-24,John Katko (R),123226,136920,0,47.4,52.6,0,-5.3,3.6,-8.9,83.8
NY-25,Joe Morelle (D),159244,110736,0,59,41,0,18,16.2,1.8,81
NY-26,Brian Higgins (D),169166,61488,5,73.3,26.7,0,46.7,19.6,27.1,75.6
NY-27,Chris Collins (R),139059,140146,5973,48.8,49.1,2.1,-0.4,-24.3,23.9,81.7
NC-01,G.K. Butterfield (D),190457,82218,0,69.8,30.2,0,39.7,37.4,2.3,75.5
NC-02,George Holding (R),151977,170072,9655,45.8,51.3,2.9,-5.5,-11.5,6,83.5
NC-03,Walter Jones (R),0,187901,0,0,100,0,-100,-24,-,56.8
NC-04,David Price (D),247067,82052,12284,72.4,24,3.6,48.3,40.3,8,80.6
NC-05,Virginia Foxx (R),120468,159917,0,43,57,0,-14.1,-17.3,3.2,77.3
